params,param_model__n_estimators,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__bootstrap,param_model__class_weight,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,mean_train_f1,std_train_f1,mean_fit_time,std_fit_time,mean_score_time,rank_test_f1
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 20, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 5, ""model__n_estimators"": 500}",500,20,5,4,log2,True,balanced_subsample,0.7804,0.0038809631536514,0.6945744685431967,0.0045618540843594,0.7344140341073425,0.0075721378961016,0.713929874029778,0.0055763863164685,0.8553742207596761,0.0035419662151186,0.8732051628354345,0.0003679366242612,2.983582162857056,0.0701650332476646,0.3617284774780273,11
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 20, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 2, ""model__n_estimators"": 700}",700,20,2,4,log2,True,balanced_subsample,0.7804500000000001,0.0038272052466519,0.6947929124712374,0.0041985750549313,0.7340455248946121,0.0081849406332067,0.7138694486951607,0.0057188982944532,0.8554062881658991,0.0035221743722819,0.8732710224175794,0.0003327854543804,4.02462477684021,0.0200385792102511,0.4750195980072021,12
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 40, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 20, ""model__n_estimators"": 200}",200,40,20,8,0.5,True,balanced_subsample,0.77735,0.0027356443482294,0.6864283726867203,0.0025047865755111,0.7424539770251919,0.0073389553838396,0.7133323508447533,0.0044579431925992,0.8537499923496356,0.0034391036960234,0.8425616289285853,0.0008644190078128,2.6289330959320067,0.0471693417749832,0.1796284675598144,13
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 30, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 2, ""model__n_estimators"": 700}",700,30,2,8,0.5,True,balanced_subsample,0.778225,0.0036089298967976,0.6897082125364149,0.0039362631286978,0.7373619675444155,0.0071734034124797,0.7127338066533878,0.0052677215582614,0.8538912869204337,0.0035743613018344,0.8542973295405225,0.0003459796572778,8.271761512756347,0.0713279887327608,0.4772304058074951,14
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": null, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 700}",700,not_set,10,4,0.8,True,balanced,0.7744500000000001,0.0032666400934293,0.6791188194801493,0.0038009114443361,0.7498238863608502,0.0074376203386575,0.7127088227389422,0.0047555519651442,0.8515087852429322,0.0035500381692772,0.9205691459490264,0.000443591799304,13.358253479003906,0.0495645655770343,0.4643706321716309,15
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 30, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}",300,30,20,2,0.5,True,balanced_subsample,0.7785624999999999,0.0038882836830663,0.6942907600977668,0.0045509761822915,0.7263740855789023,0.0067875204887464,0.7099670358312558,0.0055102202264661,0.8524901289902107,0.0035708957521671,0.8838127315722775,0.0005912793848687,4.115730476379395,0.0296876393760021,0.2393580913543701,16
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": null, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 10, ""model__n_estimators"": 500}",500,not_set,10,1,0.8,True,balanced,0.773775,0.0029446986263452,0.6811970128608921,0.0032489490913429,0.740075423171796,0.0067487314260836,0.7094074428702136,0.0044179323693232,0.8496492634723655,0.0035701536287519,0.958892117361822,0.0003636648022123,10.809447717666623,0.248018661046052,0.3749563217163086,17
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": 40, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}",300,40,2,1,0.5,True,balanced,0.776575,0.0033834154341434,0.6902048854565135,0.0041346728897013,0.727982103337544,0.0074961537874495,0.7085761851484296,0.0050068712210392,0.8496875267392949,0.0034582499513907,0.9999748759499958,1.5667597893750207e-05,4.503673362731933,0.023699292171427,0.2455801963806152,18
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 20, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",200,20,5,2,sqrt,True,balanced_subsample,0.7814125,0.0039406931496882,0.7083555216053716,0.005030500834178,0.7040633749891645,0.0070707160701586,0.7061954680249803,0.0056950721748819,0.8535120004650896,0.0035411119434357,0.941310840949348,0.0003049215091387,1.4046162128448487,0.0297934020091765,0.1888409614562988,19
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 40, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 700}",700,40,5,2,0.5,True,balanced_subsample,0.781675,0.0029040381368019,0.7191389753227282,0.0033190716462882,0.6807475831678911,0.0061346729680807,0.6994113131629014,0.0046426411630926,0.851568271192928,0.0035596485872624,0.9843739333307804,0.0003455258493918,9.823411750793458,0.057696080708194,0.5161032676696777,20
"{""model__bootstrap"": true, ""model__class_weight"": null, ""model__max_depth"": 40, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 10, ""model__n_estimators"": 500}",500,40,10,4,log2,True,not_set,0.7846874999999999,0.0042615651467506,0.7318373401768822,0.0061562496812895,0.6675821579846983,0.0060555341330851,0.6982337172843136,0.0060690472561968,0.8552462823303906,0.0034819900138055,0.8660527099000287,0.0009591402186408,2.4682329177856444,0.0356331931961824,0.3394679069519043,21
"{""model__bootstrap"": true, ""model__class_weight"": null, ""model__max_depth"": 30, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 20, ""model__n_estimators"": 200}",200,30,20,2,log2,True,not_set,0.784075,0.0036690002044153,0.7299987773900568,0.0050945888689129,0.6686206334525304,0.0061181022487046,0.6979585202795896,0.0054392155681618,0.8548686458712819,0.0034757166863735,0.8349853760450504,0.0007413047099975,1.077515697479248,0.0149038711194006,0.1799124240875244,22
"{""model__bootstrap"": true, ""model__class_weight"": null, ""model__max_depth"": 40, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 20, ""model__n_estimators"": 700}",700,40,20,8,0.5,True,not_set,0.7843875,0.0032618533841974,0.7319271187702212,0.0047112253136789,0.6661417510148857,0.0051164007172824,0.6974836288754517,0.004741260994878,0.8542415613020686,0.003431696943086,0.833206099742316,0.0010833172205193,8.176820087432862,0.0406673486420367,0.4589088439941406,23
"{""model__bootstrap"": true, ""model__class_weight"": null, ""model__max_depth"": 10, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 500}",500,10,2,2,0.8,True,not_set,0.7847999999999999,0.0045590569200219,0.7335878010427955,0.0065136919641281,0.6646341684417173,0.0071468108771364,0.6974062688232491,0.0066714876208908,0.8550734803867668,0.0034690943074647,0.7600349207361381,0.0020893547191417,6.3514134883880615,0.0355702317864532,0.2863842964172363,24
"{""model__bootstrap"": true, ""model__class_weight"": null, ""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 10, ""model__n_estimators"": 500}",500,10,10,1,log2,True,not_set,0.784625,0.004092294588614,0.7331612769232799,0.0052888559588152,0.6647010579049437,0.0071116205875544,0.697251816164149,0.0062586735274694,0.8564912979986842,0.0034275808191913,0.736999742880722,0.0012836320545571,1.915139865875244,0.0548720446820928,0.2933619499206543,25
"{""model__bootstrap"": true, ""model__class_weight"": null, ""model__max_depth"": 30, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 10, ""model__n_estimators"": 700}",700,30,10,8,0.5,True,not_set,0.784075,0.0035464330671817,0.7314141468391774,0.0055015744512241,0.6658402210348342,0.0044101486272767,0.6970874157135124,0.0048485942835302,0.8540239066093264,0.0034117244239768,0.8454175318114772,0.0009504229789453,8.264905309677124,0.044404258166841,0.4700913429260254,26
"{""model__bootstrap"": true, ""model__class_weight"": null, ""model__max_depth"": 40, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5, ""model__n_estimators"": 700}",700,40,5,1,log2,True,not_set,0.78345,0.0041371789905683,0.7293176159558155,0.0057897613568448,0.6673141793374846,0.0064553630712322,0.6969367710963199,0.006032719231369,0.8537496114430132,0.0034875889349838,0.9832916327814176,0.0002113066359414,3.6505415439605713,0.0542509642821691,0.4985599994659423,27
"{""model__bootstrap"": true, ""model__class_weight"": null, ""model__max_depth"": 30, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}",300,30,2,1,sqrt,True,not_set,0.7827500000000001,0.0039502768890294,0.7292827171143855,0.0055219349180769,0.6643997018532062,0.006248109282568,0.6953281383724693,0.005801455741323,0.8525887954525361,0.0036775277044457,1.0,0.0,1.932804250717163,0.0268280236495144,0.2519367218017578,28
"{""model__bootstrap"": true, ""model__class_weight"": null, ""model__max_depth"": 40, ""model__max_features"": 0.8, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 500}",500,40,5,2,0.8,True,not_set,0.7821125,0.0026938587565052,0.7278342243889524,0.0032000856359802,0.6645672958102633,0.0064054519899493,0.6947532475275151,0.0045525648280688,0.8506328273479674,0.0034640258378385,0.9834509244197108,0.000226569518082,10.299683046340942,0.0507157968771807,0.3662181377410888,29
"{""model__bootstrap"": true, ""model__class_weight"": null, ""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 500}",500,not_set,2,1,0.5,True,not_set,0.781275,0.0028423691702521,0.7268282536992305,0.0037278826292488,0.6629927396150068,0.0048551677910276,0.6934431033852526,0.0043070847356586,0.8503888036884704,0.0034757498696768,1.0,0.0,7.169047164916992,0.05208730144368,0.3812314987182617,30
