params,param_model__n_estimators,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__gamma,param_model__subsample,param_model__colsample_bytree,param_model__reg_alpha,param_model__reg_lambda,param_model__scale_pos_weight,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,mean_train_f1,std_train_f1,mean_fit_time,std_fit_time,mean_score_time,rank_test_f1
"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.5, ""model__learning_rate"": 0.15, ""model__max_depth"": 4, ""model__min_child_weight"": 5, ""model__n_estimators"": 200, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 10.0, ""model__scale_pos_weight"": 1.3, ""model__subsample"": 0.85}",200,0.15,4,5,0.5,0.85,0.7,0.1,10.0,1.3,0.7808375000000001,0.003304022170022489,0.6979932883436959,0.003661977549728354,0.7273455986458277,0.007205214596313552,0.7123582036860359,0.005003239991450738,0.8565349872398673,0.003275274851095371,0.7299532592801666,0.0018477750518785957,0.471082067489624,0.011882140413043535,0.10336871147155761,11
"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.3, ""model__learning_rate"": 0.1, ""model__max_depth"": 8, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_alpha"": 0.0, ""model__reg_lambda"": 10.0, ""model__scale_pos_weight"": 1.68, ""model__subsample"": 0.7}",300,0.1,8,1,0.3,0.7,0.7,0.0,10.0,1.68,0.7719125,0.0038080096507230685,0.6737590452606361,0.0042313845229876865,0.7536429089005571,0.007397029263125037,0.7114583742139997,0.005318752974286963,0.8492524208439608,0.0040559929176490605,0.8338079468292825,0.0018971152530091533,0.99307222366333,0.03586961662770122,0.1172210693359375,12
"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.3, ""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__min_child_weight"": 3, ""model__n_estimators"": 500, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 10.0, ""model__scale_pos_weight"": 1.3, ""model__subsample"": 0.85}",500,0.1,4,3,0.3,0.85,0.7,0.1,10.0,1.3,0.7803374999999999,0.0033245300419758486,0.6979709179805667,0.0036921142809525705,0.7250340408568832,0.006426248519571741,0.7112412792532926,0.004895331401691176,0.8555141770961445,0.003264425974349449,0.7380239749546715,0.001478281934899842,0.8313269138336181,0.015149286286450722,0.10716533660888672,13
"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.5, ""model__learning_rate"": 0.08, ""model__max_depth"": 8, ""model__min_child_weight"": 7, ""model__n_estimators"": 700, ""model__reg_alpha"": 0.5, ""model__reg_lambda"": 2.0, ""model__scale_pos_weight"": 1.3, ""model__subsample"": 1.0}",700,0.08,8,7,0.5,1.0,0.7,0.5,2.0,1.3,0.7804125000000001,0.004185465923884716,0.6992697371493574,0.005271316962767295,0.7220192179565835,0.006428002868778546,0.7104601078279167,0.00570813893274582,0.8548191174397033,0.003481420475989627,0.7691077538949436,0.003331863487280551,0.8314196109771729,0.0286180030770783,0.11207380294799804,14
"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 8, ""model__min_child_weight"": 3, ""model__n_estimators"": 150, ""model__reg_alpha"": 0.01, ""model__reg_lambda"": 2.0, ""model__scale_pos_weight"": 1.3, ""model__subsample"": 1.0}",150,0.08,8,3,0.0,1.0,0.7,0.01,2.0,1.3,0.7806375,0.0039734273618628035,0.6999484710646218,0.004183232200902731,0.72128225002644,0.00828345634646228,0.710447785360775,0.0060459023407287565,0.8548554596474901,0.0034059852073130307,0.7741892128478153,0.002431031402878229,0.5525650024414063,0.020177709781264104,0.10710463523864747,15
"{""model__colsample_bytree"": 1.0, ""model__gamma"": 0.3, ""model__learning_rate"": 0.02, ""model__max_depth"": 8, ""model__min_child_weight"": 1, ""model__n_estimators"": 700, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 2.0, ""model__scale_pos_weight"": 1.3, ""model__subsample"": 0.7}",700,0.02,8,1,0.3,0.7,1.0,0.1,2.0,1.3,0.780825,0.004084727653100023,0.7018365402694221,0.004958771915805693,0.7173627137529888,0.0069982942295110165,0.709510923668741,0.005806938844938034,0.8544047727629994,0.003598625916811192,0.807480861253653,0.0009154593948399407,2.1072240352630613,0.052665471355389265,0.15578103065490723,16
"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.0, ""model__learning_rate"": 0.1, ""model__max_depth"": 8, ""model__min_child_weight"": 1, ""model__n_estimators"": 200, ""model__reg_alpha"": 0.0, ""model__reg_lambda"": 5.0, ""model__scale_pos_weight"": 1.3, ""model__subsample"": 0.85}",200,0.1,8,1,0.0,0.85,0.7,0.0,5.0,1.3,0.77855,0.0036598326464470756,0.6983281033037654,0.003797077347905005,0.7156541654288301,0.008643591095170478,0.7068716780020096,0.005836155179884883,0.8523020437702641,0.0036524342960154413,0.8101945672944698,0.002158837044628867,0.736224889755249,0.03697935321435726,0.1113828182220459,17
"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.3, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 7, ""model__n_estimators"": 200, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 10.0, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 0.7}",200,0.08,3,7,0.3,0.7,0.7,0.1,10.0,1.0,0.7860250000000001,0.003405097282017054,0.7331881896664567,0.004538094541318722,0.6705635417639753,0.005676564687950421,0.7004770291723433,0.005098134998190005,0.858093088589243,0.0031590636160616714,0.7053350395567877,0.0009962560357879612,0.45414233207702637,0.01304816219858929,0.09830617904663086,18
"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.1, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_weight"": 3, ""model__n_estimators"": 300, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 5.0, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 0.7}",300,0.05,3,3,0.1,0.7,0.7,0.1,5.0,1.0,0.78605,0.0035915264860501618,0.7333412811402178,0.0046702621880668795,0.6703625086858958,0.0061642698708581755,0.7004368331435633,0.005439827662853855,0.8581656415883858,0.0032473971260237803,0.7054596748006444,0.0013746326741138214,0.5613329410552979,0.015315075007939232,0.09996628761291504,19
"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.0, ""model__learning_rate"": 0.15, ""model__max_depth"": 5, ""model__min_child_weight"": 5, ""model__n_estimators"": 150, ""model__reg_alpha"": 0.0, ""model__reg_lambda"": 5.0, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 1.0}",150,0.15,5,5,0.0,1.0,0.7,0.0,5.0,1.0,0.785275,0.0037430351988727065,0.7318022092189163,0.005118729957954425,0.6701280140444308,0.006055365059734474,0.6996059919960715,0.005525780772134312,0.8563171832210307,0.0034155263948080854,0.7222679163366036,0.0013568379118400226,0.3956624507904053,0.014788796743296903,0.09912738800048829,20
"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.1, ""model__learning_rate"": 0.15, ""model__max_depth"": 3, ""model__min_child_weight"": 7, ""model__n_estimators"": 200, ""model__reg_alpha"": 0.0, ""model__reg_lambda"": 10.0, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 0.85}",200,0.15,3,7,0.1,0.85,0.7,0.0,10.0,1.0,0.7851125000000001,0.003532748575825919,0.7317823812667461,0.005035994265833153,0.6694915766798039,0.005670230973384178,0.6992485230371183,0.00516086055859378,0.8574893314513063,0.003277832382183674,0.7088742653036122,0.0008875784598804903,0.4361381530761719,0.009846719518936741,0.09661884307861328,21
"{""model__colsample_bytree"": 0.85, ""model__gamma"": 0.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 200, ""model__reg_alpha"": 0.01, ""model__reg_lambda"": 2.0, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 0.7}",200,0.08,6,5,0.0,0.7,0.85,0.01,2.0,1.0,0.7843500000000001,0.004160566367695602,0.7307063338639038,0.005123106610769338,0.6683524752664118,0.007977593980957416,0.6981327278372642,0.006536810984292293,0.8556281709879494,0.003289875578821172,0.7341378290500907,0.0007162861230863003,0.5667278289794921,0.011182391868809542,0.10601229667663574,22
"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.1, ""model__learning_rate"": 0.08, ""model__max_depth"": 6, ""model__min_child_weight"": 3, ""model__n_estimators"": 150, ""model__reg_alpha"": 0.5, ""model__reg_lambda"": 1.0, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 0.7}",150,0.08,6,3,0.1,0.7,0.7,0.5,1.0,1.0,0.7843625000000001,0.0037237413981102557,0.7310187267966427,0.0052505330854575516,0.6678166189626186,0.005593984337235053,0.6979886628784356,0.005387219209468397,0.856416788594651,0.003166120537029483,0.7285303933396701,0.0005025097230691462,0.49869799613952637,0.02669732043198026,0.10144882202148438,23
"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.3, ""model__learning_rate"": 0.15, ""model__max_depth"": 8, ""model__min_child_weight"": 3, ""model__n_estimators"": 300, ""model__reg_alpha"": 0.01, ""model__reg_lambda"": 2.0, ""model__scale_pos_weight"": 1.3, ""model__subsample"": 0.7}",300,0.15,8,3,0.3,0.7,0.7,0.01,2.0,1.3,0.772,0.0027329013886344417,0.693036441431436,0.002752658378702101,0.6982006947594558,0.006647670729948129,0.6956011991903612,0.00449728201976116,0.8418800479535609,0.003057220402143073,0.8864653955711592,0.001450719088828127,0.9375075817108154,0.038366553340407096,0.11680245399475098,24
"{""model__colsample_bytree"": 1.0, ""model__gamma"": 0.3, ""model__learning_rate"": 0.1, ""model__max_depth"": 8, ""model__min_child_weight"": 7, ""model__n_estimators"": 150, ""model__reg_alpha"": 0.5, ""model__reg_lambda"": 2.0, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 0.7}",150,0.1,8,7,0.3,0.7,1.0,0.5,2.0,1.0,0.78145,0.004570694695557772,0.7264548045183028,0.006468081687985733,0.6645001426492704,0.00680093893679939,0.6940959007056459,0.006583769242515289,0.8524675019939242,0.0036527191911722933,0.7738525101914767,0.0018197392758680007,0.5964225769042969,0.031711473089152016,0.10580544471740723,25
"{""model__colsample_bytree"": 1.0, ""model__gamma"": 0.3, ""model__learning_rate"": 0.15, ""model__max_depth"": 8, ""model__min_child_weight"": 7, ""model__n_estimators"": 500, ""model__reg_alpha"": 0.0, ""model__reg_lambda"": 10.0, ""model__scale_pos_weight"": 1.3, ""model__subsample"": 0.85}",500,0.15,8,7,0.3,0.85,1.0,0.0,10.0,1.3,0.7713875,0.0033977014289075084,0.6935426190558027,0.004044499062997202,0.6939464138085616,0.006507628119523705,0.6937395211611562,0.005085765961263156,0.8409790458048965,0.0038592558345197318,0.9086192878789644,0.0022568056979761267,1.3481584072113038,0.017386529411136303,0.13043642044067383,26
"{""model__colsample_bytree"": 1.0, ""model__gamma"": 0.1, ""model__learning_rate"": 0.15, ""model__max_depth"": 8, ""model__min_child_weight"": 3, ""model__n_estimators"": 500, ""model__reg_alpha"": 0.01, ""model__reg_lambda"": 1.0, ""model__scale_pos_weight"": 1.68, ""model__subsample"": 0.85}",500,0.15,8,3,0.1,0.85,1.0,0.01,1.0,1.68,0.765525,0.0034215767564092525,0.6766675037314611,0.004178697558156526,0.7116678631251496,0.006615064767311347,0.6937184151147526,0.004908577250066099,0.8369372905236965,0.0037309459090213723,0.9675172512420518,0.0012421141857926175,1.4348392009735107,0.04183821381359472,0.12725262641906737,27
"{""model__colsample_bytree"": 0.85, ""model__gamma"": 0.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 8, ""model__min_child_weight"": 3, ""model__n_estimators"": 300, ""model__reg_alpha"": 0.01, ""model__reg_lambda"": 1.0, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 0.85}",300,0.08,8,3,0.0,0.85,0.85,0.01,1.0,1.0,0.7806875,0.003959955807834229,0.7253826656056782,0.005635610767943438,0.663394704780532,0.006304752199318559,0.6930009132518361,0.005781521958328251,0.8506101309381151,0.0036892908879473415,0.8240317620086037,0.0017898497421178574,0.922569465637207,0.014076429917797026,0.11644606590270996,28
"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.3, ""model__learning_rate"": 0.08, ""model__max_depth"": 8, ""model__min_child_weight"": 1, ""model__n_estimators"": 500, ""model__reg_alpha"": 0.0, ""model__reg_lambda"": 10.0, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 0.7}",500,0.08,8,1,0.3,0.7,0.7,0.0,10.0,1.0,0.7782250000000001,0.0037828973684201463,0.7216548383626904,0.005450692378655934,0.6603462632203052,0.005780976016469685,0.6896372471078434,0.005445591124805189,0.8484634596294434,0.0035932253543071195,0.8506189046231226,0.0016414643224702506,1.4709808826446533,0.012705453701849372,0.13711414337158204,29
"{""model__colsample_bytree"": 1.0, ""model__gamma"": 0.0, ""model__learning_rate"": 0.15, ""model__max_depth"": 6, ""model__min_child_weight"": 5, ""model__n_estimators"": 500, ""model__reg_alpha"": 0.01, ""model__reg_lambda"": 5.0, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 0.85}",500,0.15,6,5,0.0,0.85,1.0,0.01,5.0,1.0,0.7766625000000001,0.003641256651212593,0.7195978957080834,0.0043252734223705284,0.6577332091148536,0.007356123313619678,0.6872695155441434,0.005864014189607425,0.8457223379113892,0.0035444198691920105,0.818146608843408,0.002172060539639589,1.0779560565948487,0.0411151379904806,0.12678880691528321,30
