preprocessor,feature_set,feature_index,transformed_feature_name
naive_bayes,full,15,categorical__department_HR
naive_bayes,full,16,categorical__department_IT
naive_bayes,full,17,categorical__department_Legal
naive_bayes,full,18,categorical__department_Marketing
naive_bayes,full,19,categorical__department_Operations
naive_bayes,full,20,categorical__department_Sales
naive_bayes,full,21,categorical__work_mode_Hybrid
naive_bayes,full,22,categorical__work_mode_Office
naive_bayes,full,23,categorical__work_mode_Remote
naive_bayes,full,24,categorical__password_reuse_No
naive_bayes,full,25,categorical__password_reuse_Yes
naive_bayes,full,26,categorical__password_manager_usage_No
naive_bayes,full,27,categorical__password_manager_usage_Yes
naive_bayes,full,28,categorical__mfa_enabled_No
naive_bayes,full,29,categorical__mfa_enabled_Yes
naive_bayes,full,30,categorical__cybersecurity_training_No
naive_bayes,full,31,categorical__cybersecurity_training_Yes
naive_bayes,full,32,categorical__antivirus_installed_No
naive_bayes,full,33,categorical__antivirus_installed_Yes
naive_bayes,full,34,categorical__vpn_usage_No
naive_bayes,full,35,categorical__vpn_usage_Yes
naive_bayes,reduced,0,numeric__age
naive_bayes,reduced,1,numeric__daily_email_count
naive_bayes,reduced,2,numeric__suspicious_email_frequency
naive_bayes,reduced,3,numeric__password_length
naive_bayes,reduced,4,numeric__phishing_awareness_score
naive_bayes,reduced,5,numeric__security_quiz_score
naive_bayes,reduced,6,numeric__link_click_tendency
naive_bayes,reduced,7,numeric__attachment_open_rate
naive_bayes,reduced,8,numeric__verification_before_click
naive_bayes,reduced,9,numeric__reporting_suspicious_email
naive_bayes,reduced,10,categorical__department_Customer Support
naive_bayes,reduced,11,categorical__department_Engineering
naive_bayes,reduced,12,categorical__department_Executive
naive_bayes,reduced,13,categorical__department_Finance
naive_bayes,reduced,14,categorical__department_HR
naive_bayes,reduced,15,categorical__department_IT
naive_bayes,reduced,16,categorical__department_Legal
naive_bayes,reduced,17,categorical__department_Marketing
naive_bayes,reduced,18,categorical__department_Operations
naive_bayes,reduced,19,categorical__department_Sales
naive_bayes,reduced,20,categorical__work_mode_Hybrid
naive_bayes,reduced,21,categorical__work_mode_Office
naive_bayes,reduced,22,categorical__work_mode_Remote
naive_bayes,reduced,23,categorical__password_reuse_No
naive_bayes,reduced,24,categorical__password_reuse_Yes
naive_bayes,reduced,25,categorical__password_manager_usage_No
naive_bayes,reduced,26,categorical__password_manager_usage_Yes
naive_bayes,reduced,27,categorical__mfa_enabled_No
naive_bayes,reduced,28,categorical__mfa_enabled_Yes
naive_bayes,reduced,29,categorical__cybersecurity_training_No
naive_bayes,reduced,30,categorical__cybersecurity_training_Yes
naive_bayes,reduced,31,categorical__antivirus_installed_No
naive_bayes,reduced,32,categorical__antivirus_installed_Yes
naive_bayes,reduced,33,categorical__vpn_usage_No
naive_bayes,reduced,34,categorical__vpn_usage_Yes
tree,full,0,numeric__age
tree,full,1,numeric__daily_email_count
tree,full,2,numeric__suspicious_email_frequency
tree,full,3,numeric__password_length
tree,full,4,numeric__phishing_awareness_score
tree,full,5,numeric__security_quiz_score
tree,full,6,numeric__link_click_tendency
tree,full,7,numeric__attachment_open_rate
tree,full,8,numeric__verification_before_click
tree,full,9,numeric__reporting_suspicious_email
tree,full,10,numeric__cybersecurity_awareness_score
tree,full,11,categorical__department_Customer Support
tree,full,12,categorical__department_Engineering
tree,full,13,categorical__department_Executive
tree,full,14,categorical__department_Finance
tree,full,15,categorical__department_HR
tree,full,16,categorical__department_IT
tree,full,17,categorical__department_Legal
tree,full,18,categorical__department_Marketing
tree,full,19,categorical__department_Operations
tree,full,20,categorical__department_Sales
tree,full,21,categorical__work_mode_Hybrid
tree,full,22,categorical__work_mode_Office
tree,full,23,categorical__work_mode_Remote
tree,full,24,categorical__password_reuse_No
tree,full,25,categorical__password_reuse_Yes
tree,full,26,categorical__password_manager_usage_No
tree,full,27,categorical__password_manager_usage_Yes
tree,full,28,categorical__mfa_enabled_No
tree,full,29,categorical__mfa_enabled_Yes
tree,full,30,categorical__cybersecurity_training_No
tree,full,31,categorical__cybersecurity_training_Yes
tree,full,32,categorical__antivirus_installed_No
tree,full,33,categorical__antivirus_installed_Yes
tree,full,34,categorical__vpn_usage_No
tree,full,35,categorical__vpn_usage_Yes
tree,reduced,0,numeric__age
tree,reduced,1,numeric__daily_email_count
tree,reduced,2,numeric__suspicious_email_frequency
tree,reduced,3,numeric__password_length
tree,reduced,4,numeric__phishing_awareness_score
tree,reduced,5,numeric__security_quiz_score
tree,reduced,6,numeric__link_click_tendency
tree,reduced,7,numeric__attachment_open_rate
tree,reduced,8,numeric__verification_before_click
tree,reduced,9,numeric__reporting_suspicious_email
tree,reduced,10,categorical__department_Customer Support
tree,reduced,11,categorical__department_Engineering
tree,reduced,12,categorical__department_Executive
tree,reduced,13,categorical__department_Finance
tree,reduced,14,categorical__department_HR
tree,reduced,15,categorical__department_IT
tree,reduced,16,categorical__department_Legal
tree,reduced,17,categorical__department_Marketing
tree,reduced,18,categorical__department_Operations
tree,reduced,19,categorical__department_Sales
tree,reduced,20,categorical__work_mode_Hybrid
tree,reduced,21,categorical__work_mode_Office
tree,reduced,22,categorical__work_mode_Remote
tree,reduced,23,categorical__password_reuse_No
tree,reduced,24,categorical__password_reuse_Yes
tree,reduced,25,categorical__password_manager_usage_No
tree,reduced,26,categorical__password_manager_usage_Yes
tree,reduced,27,categorical__mfa_enabled_No
tree,reduced,28,categorical__mfa_enabled_Yes
tree,reduced,29,categorical__cybersecurity_training_No
tree,reduced,30,categorical__cybersecurity_training_Yes
tree,reduced,31,categorical__antivirus_installed_No
tree,reduced,32,categorical__antivirus_installed_Yes
tree,reduced,33,categorical__vpn_usage_No
tree,reduced,34,categorical__vpn_usage_Yes
